,School,Zip Code,Grades,Local District,Board District,complete_address
290,William Mulholland Middle School,91406,6- 8,NW,3-Scott M Schmerelson,17120 Vanowen St Lake Balboa CA 91406
291,Van Gogh Charter,91344,K- 5,NW,3-Scott M Schmerelson,17160 Van Gogh St Granada Hills CA 91344
292,Arlington Heights Elementary DL Two-Way Im Spanish,90019,K- K,W,1-Dr George J McKenna III,1717 7th Av Los Angeles CA 90019
293,Arlington Heights Elementary,90019,K- 5,W,1-Dr George J McKenna III,1717 7th Ave Los Angeles CA 90019
294,Granada Elementary,91344,K- 5,NW,3-Scott M Schmerelson,17170 Tribune St Granada Hills CA 91344
295,Camino Nuevo Elementary School #3,90007,K- 8,XR,2-Monica Garcia,1723 Cordova St Los Angeles CA 90007
296,Western Avenue Tech/Eng/Comm/Hum Magnet,90062,K- 6,W,1-Dr George J McKenna III,1724 W 53rd St Los Angeles CA 90062
297,KIPP Scholar Academy,90062,5- 7,XR,1-Dr George J McKenna III,1729 W Ml King Jr Blvd Los Angeles CA 90062
298,Nora Sterry Elementary,90025,K- 5,W,4-Nick Melvoin,1730 Corinth Ave Los Angeles CA 90025
299,Patrick Henry Middle School,91344,6- 8,NW,3-Scott M Schmerelson,17340 San Jose St Granada Hills CA 91344
300,Los Feliz Science/Tech/Engineer/Math/Medicine Magnet,90027,K- 5,C,5-Jackie Goldberg,1740 N New Hampshire Ave Los Angeles CA 90027
301,Lorne Street Elementary,91325,K- 5,NW,6-Kelly Gonez,17440 Lorne St Northridge CA 91325
302,Alta Loma Elementary,90019,K- 5,W,1-Dr George J McKenna III,1745 Vineyard Ave Los Angeles CA 90019
303,Eagle Rock High School,90041,7-12,C,5-Jackie Goldberg,1750 Yosemite Dr Los Angeles CA 90041
304,Lemay Street Elementary,91406,K- 5,NW,3-Scott M Schmerelson,17520 Vanowen St Lake Balboa CA 91406
305,Academy for Enriched Sciences Elementary Magnet,91316,K- 5,NW,3-Scott M Schmerelson,17551 Miranda St Encino CA 91316
306,Birdielee V Bright Elementary,90018,K- 5,W,1-Dr George J McKenna III,1771 W 36th St Los Angeles CA 90018
307,Emelita Street Elementary,91316,K- 5,NW,3-Scott M Schmerelson,17931 Hatteras St Encino CA 91316
308,Cantara Street Elementary Visual/Performing Arts Magnet,91335,3- 5,NW,6-Kelly Gonez,17950 Cantara St Reseda CA 91335
309,Moneta Continuation High,90248,9-12,S,7-Dr Richard A Vladovic,17951 S Budlong Ave Gardena CA 90248
310,Northridge Middle Medical Health Careers Magnet,91325,6- 8,NW,3-Scott M Schmerelson,17960 Chase St Northridge CA 91325
311,Garden Grove Elementary,91335,K- 5,NW,6-Kelly Gonez,18141 Valerio St Reseda CA 91335
312,Zane Grey Continuation High,91335,9-12,NW,6-Kelly Gonez,18230 Kittridge St Reseda CA 91335
313,Taper Avenue Elementary STEAM Magnet,90731,K- 5,S,7-Dr Richard A Vladovic,1824 Taper Ave San Pedro CA 90731
314,Magnolia Science Academy #7,91325,K- 5,XR,3-Scott M Schmerelson,18355 Roscoe Blvd Northridge CA 91325
315,Manhattan Place Elementary,90047,K- 5,W,1-Dr George J McKenna III,1850 W 96th St Los Angeles CA 90047
316,PUC Excel Academy,90031,6- 8,XR,2-Monica Garcia,1855 N Main St Los Angeles CA 90031
317,Sherman Oaks Center for Enriched Studies (SOCES) Magnet,91335,4-12,NW,3-Scott M Schmerelson,18605 Erwin St Reseda CA 91335
318,Gaspar de Portola CM - Academy of Integrated Arts & Tech,91356,6- 8,NW,4-Nick Melvoin,18720 Linnet St Tarzana CA 91356
319,Calahan Street Elementary,91324,K- 5,NW,3-Scott M Schmerelson,18722 Knapp St Northridge CA 91324
320,Blythe Street Elementary,91335,K- 5,NW,3-Scott M Schmerelson,18730 Blythe St Reseda CA 91335
321,John R Wooden High School,91335,9-12,NW,3-Scott M Schmerelson,18741 Elkwood St Reseda CA 91335
322,Towne Avenue Elementary,90746,K- 5,S,7-Dr Richard A Vladovic,18924 Towne Ave Carson CA 90746
323,Castlebay Lane Charter,91326,K- 5,NW,3-Scott M Schmerelson,19010 Castlebay Ln Porter Ranch CA 91326
324,Napa Street Elementary,91324,K- 5,NW,3-Scott M Schmerelson,19010 Napa St Northridge CA 91324
325,Vanalden Avenue Elementary,91335,K- 5,NW,3-Scott M Schmerelson,19019 Delano St Reseda CA 91335
326,Diane S Leichman Career Preparatory and Transition Center,91335,9-12,NW,3-Scott M Schmerelson,19034 Gault St Reseda CA 91335
327,Gridley Street Elementary,91340,K- 5,NE,6-Kelly Gonez,1907 8th St San Fernando CA 91340
328,Franklin Avenue Elementary,90027,K- 5,C,5-Jackie Goldberg,1910 N Commonwealth Ave Los Angeles CA 90027
329,Beckford Charter for Enriched Studies,91326,K- 5,NW,3-Scott M Schmerelson,19130 Tulsa St Northridge CA 91326
330,New Los Angeles Charter School,90016,6- 8,XR,1-Dr George J McKenna III,1919 S Burnside Ave Los Angeles CA 90016
331,Santee Education Complex,90011,9-12,C,2-Monica Garcia,1921 S Maple Ave Los Angeles CA 90011
332,Frida Kahlo Continuation High,90011,9-12,C,2-Monica Garcia,1924 S Los Angeles St Los Angeles CA 90011
333,Sophia T Salvin Special Education Center,90007,K- 9,C,2-Monica Garcia,1925 Budlong Ave Los Angeles CA 90007
334,University Preparatory Value High,90006,9- 9,XR,2-Monica Garcia,1929 W Pico Blvd Los Angeles CA 90006
335,Leapwood Elementary,90746,K- 5,S,7-Dr Richard A Vladovic,19302 Leapwood Ave Carson CA 90746
336,Grape Street Elementary,90059,K- 5,S,7-Dr Richard A Vladovic,1940 E 111th St Los Angeles CA 90059
337,Annalee Avenue Elementary,90746,K- 6,S,7-Dr Richard A Vladovic,19410 S Annalee Ave Carson CA 90746
338,2nd Street Elementary,90033,K- 6,E,2-Monica Garcia,1942 E 2nd St Los Angeles CA 90033
339,Broadacres Avenue Elementary,90746,K- 5,S,7-Dr Richard A Vladovic,19424 S Broadacres Ave Carson CA 90746
340,Sven Lokrantz Special Education Center,91335,K- 8,NW,3-Scott M Schmerelson,19451 Wyandotte St Reseda CA 91335
341,Shirley Avenue Elementary,91335,K- 5,NW,3-Scott M Schmerelson,19452 Hart St Reseda CA 91335
342,Crestwood Street Elementary,90275,K- 5,S,7-Dr Richard A Vladovic,1946 W Crestwood St Rancho Palos Verdes CA 90275
343,Chapman Elementary,90249,K- 5,S,7-Dr Richard A Vladovic,1947 Marine Ave Gardena CA 90249
344,Florence Griffith Joyner Elem Visual/Perf Arts Magnet,90002,1- 5,S,7-Dr Richard A Vladovic,1963 E 103rd St Los Angeles CA 90002
345,Chime Institute'S Schwarzenegger Community School,91364,K- 8,XR,4-Nick Melvoin,19722 Collier St Woodland Hills CA 91364
346,Calvert Charter for Enriched Studies,91367,K- 5,NW,4-Nick Melvoin,19850 Delano St Woodland Hills CA 91367
347,Ivy Bound Academy M/S/T Charter Middle School #2,91324,5- 7,XR,3-Scott M Schmerelson,20040 Parthenia St Northridge CA 91324
348,Academy of Media Arts,90062,9- 9,XR,1-Dr George J McKenna III,2009 W Martin Luther King Bl Los Angeles CA 90062
349,3rd Street Elementary,90004,K- 5,W,1-Dr George J McKenna III,201 S June St Los Angeles CA 90004
350,Norwood Street Elementary,90007,K- 5,C,2-Monica Garcia,2020 Oak St Los Angeles CA 90007
351,Alliance Gertz-Ressler Richard Merkin Acad 6-12 Complex,90007,6-12,XR,2-Monica Garcia,2023 Union Av Los Angeles CA 90007
352,Griffin Avenue Elementary,90031,K- 5,E,2-Monica Garcia,2025 Griffin Ave Los Angeles CA 90031
353,Alliance Tennenbaum Family Technology High School,90065,9-12,XR,5-Jackie Goldberg,2050 N San Fernando Rd Los Angeles CA 90065
354,Westwood Charter Elementary,90025,K- 5,W,4-Nick Melvoin,2050 Selby Ave Los Angeles CA 90025
355,24th Street Elementary,90018,K- 4,C,1-Dr George J McKenna III,2055 W 24th St Los Angeles CA 90018
356,Eagle Rock Elementary,90041,K- 6,C,5-Jackie Goldberg,2057 Fair Park Ave Los Angeles CA 90041
357,South Shores Elementary Performing Arts Magnet,90732,K- 5,S,7-Dr Richard A Vladovic,2060 W 35th St San Pedro CA 90732
358,Sunny Brae Avenue Elementary,91306,K- 5,NW,3-Scott M Schmerelson,20620 Arminta St Winnetka CA 91306
359,KIPP Promesa Preparatory,90063,K- 1,XR,2-Monica Garcia,207 S Dacotah St Los Angeles CA 90063
360,Alliance Collins Family College Ready High School,90255,9-12,XR,5-Jackie Goldberg,2071 Saturn Ave Huntington Park CA 90255
361,Germain Academy for Academic Achievement,91311,K- 5,NW,3-Scott M Schmerelson,20730 Germain St Chatsworth CA 91311
362,Aspire Centennial College Preparatory Academy,90255,6- 7,XR,5-Jackie Goldberg,2079 Saturn Ave Huntington Park CA 90255
363,Woodland Hills Academy,91367,6- 8,NW,4-Nick Melvoin,20800 Burbank Blvd Woodland Hills CA 91367
364,156th Street Elementary,90249,K- 6,S,7-Dr Richard A Vladovic,2100 W 156th St Gardena CA 90249
365,Multnomah Street Elementary Gifted Magnet,90032,2- 5,E,2-Monica Garcia,2101 N Indiana Ave Los Angeles CA 90032
366,Hart Street Elementary,91303,K- 5,NW,3-Scott M Schmerelson,21040 Hart St Canoga Park CA 91303
367,William Tell Aggeler Opportunity High School,91311,7-12,NW,3-Scott M Schmerelson,21050 Plummer St Chatsworth CA 91311
368,Alliance College Ready Middle Academy #5,90031,6- 8,XR,2-Monica Garcia,211 S Avenue 20 Los Angeles CA 90031
369,74th Street Elementary,90047,K- 5,W,1-Dr George J McKenna III,2112 W 74th St Los Angeles CA 90047
370,Leland Street Elementary,90731,K- 5,S,7-Dr Richard A Vladovic,2120 S Leland St San Pedro CA 90731
371,Del Amo Elementary,90745,K- 5,S,7-Dr Richard A Vladovic,21228 Water St Carson CA 90745
372,Dominguez Elementary,90810,K- 5,S,7-Dr Richard A Vladovic,21250 Santa Fe Ave Carson CA 90810
373,New Academy Canoga Park,91303,K- 5,XR,3-Scott M Schmerelson,21425 Cohasset St Canoga Park CA 91303
374,Commonwealth Avenue Elementary Gifted Arts/Tech Magnet,90004,2- 5,C,2-Monica Garcia,215 S Commonwealth Ave Los Angeles CA 90004
375,Clifford Street Math & Technology Magnet,90039,K- 5,C,5-Jackie Goldberg,2150 Duane St Los Angeles CA 90039
376,Halldale Elementary,90501,K- 5,S,7-Dr Richard A Vladovic,21514 Halldale Ave Torrance CA 90501
377,Andrew Carnegie Middle School,90745,6- 8,S,7-Dr Richard A Vladovic,21820 Bonita St Carson CA 90745
378,Bonita Street Elementary,90745,K- 5,S,7-Dr Richard A Vladovic,21929 Bonita St Carson CA 90745
379,Cahuenga Elementary,90004,K- 5,C,2-Monica Garcia,220 S Hobart Blvd Los Angeles CA 90004
380,Chatsworth Park Elementary UP/CD Magnet,91311,K- 5,NW,3-Scott M Schmerelson,22005 Devonshire St Chatsworth CA 91311
381,New Heights Charter School,90008,K- 8,XR,1-Dr George J McKenna III,2202 W Ml King Jr Blvd Los Angeles CA 90008
382,Topanga Elementary Charter School,90290,K- 5,W,4-Nick Melvoin,22075 Topanga School Rd Topanga CA 90290
383,Central City Value School,90004,9-12,XR,2-Monica Garcia,221 N Westmoreland Ave Los Angeles CA 90004
384,City of Angels Independent Studies,90063,K-12,XS,2-Monica Garcia,221 S Eastman Ave Los Angeles CA 90063
385,Allesandro Elementary,90039,K- 5,C,5-Jackie Goldberg,2210 Riverside Dr Los Angeles CA 90039
386,William J Johnston Community Day School,90731,7-12,S,7-Dr Richard A Vladovic,2210 Taper Ave San Pedro CA 90731
387,Stephen M White Middle School,90745,6- 8,S,7-Dr Richard A Vladovic,22102 S Figueroa St Carson CA 90745
388,Lomita Elementary Math/Science/Technology Magnet,90717,K- 5,S,7-Dr Richard A Vladovic,2211 247th St Lomita CA 90717
389,Glassell Park Elementary STEAM Magnet,90065,K- 5,C,5-Jackie Goldberg,2211 W Avenue 30 Los Angeles CA 90065
390,Nevada Avenue Elementary,91304,K- 5,NW,3-Scott M Schmerelson,22120 Chase St West Hills CA 91304
391,Woodland Hills Charter Elementary for Enriched Studies,91364,K- 5,NW,4-Nick Melvoin,22201 San Miguel St Woodland Hills CA 91364
392,Mark Twain Middle School,90066,6- 8,W,4-Nick Melvoin,2224 Walgrove Ave Los Angeles CA 90066
393,Dorris Place Elementary,90031,K- 6,C,5-Jackie Goldberg,2225 Dorris Pl Los Angeles CA 90031
394,Christopher Columbus Middle School,91304,6- 8,NW,3-Scott M Schmerelson,22250 Elkwood St Canoga Park CA 91304
395,Extera Public School,90033,K- 5,XR,2-Monica Garcia,2226 E 3rd St Los Angeles CA 90033
396,Breed Street Elementary,90033,K- 6,E,2-Monica Garcia,2226 E Third St Los Angeles CA 90033
397,Carson Senior High - Academy of Education and Empowerment,90745,9-12,S,7-Dr Richard A Vladovic,22328 S Main St Carson CA 90745
398,Caroldale Learning Community,90745,K- 8,S,7-Dr Richard A Vladovic,22424 Caroldale Ave Carson CA 90745
399,Charles H Kim Elementary School,90004,K- 5,C,2-Monica Garcia,225 S Oxford Ave Los Angeles CA 90004
400,Dolores Street Elementary,90745,K- 5,S,7-Dr Richard A Vladovic,22526 Dolores St Carson CA 90745
401,Hamlin Charter Academy,91307,K- 5,NW,3-Scott M Schmerelson,22627 Hamlin St West Hills CA 91307
402,Eagle Tree Continuation High,90745,9-12,S,7-Dr Richard A Vladovic,22628 S Main St Carson CA 90745
403,Animo College Preparatory Academy,90002,9-12,XR,7-Dr Richard A Vladovic,2265 E 103rd St Los Angeles CA 90002
404,Enadia Way Technology Charter,91307,K- 5,NW,3-Scott M Schmerelson,22944 Enadia Way West Hills CA 91307
405,MacArthur Park Elementary Visual and Performing Arts,90057,K- 5,C,2-Monica Garcia,2300 W 7th St Los Angeles CA 90057
406,Joseph Pomeroy Widney Career Preparatory & Transition Center,90018,10-12,C,1-Dr George J McKenna III,2302 S Gramercy Pl Los Angeles CA 90018
407,New Designs,90007,6-12,XR,2-Monica Garcia,2303 S Figueroa St Los Angeles CA 90007
408,Calabash Charter Academy,91364,K- 5,NW,4-Nick Melvoin,23055 Eugene St Woodland Hills CA 91364
409,Ramona Opportunity High School,90063,7-12,E,2-Monica Garcia,231 S Alma Ave Los Angeles CA 90063
410,Woodlake Elementary Community Charter,91367,K- 5,NW,3-Scott M Schmerelson,23231 Hatteras St Woodland Hills CA 91367
411,232nd Place Elementary,90745,K- 5,S,7-Dr Richard A Vladovic,23240 Archibald Ave Carson CA 90745
412,Frank Lanterman High School,90007,9-11,C,2-Monica Garcia,2328 St James Pl Los Angeles CA 90007
413,Justice Street Academy Charter,91304,K- 5,NW,3-Scott M Schmerelson,23350 Justice St West Hills CA 91304
414,Samuel Gompers Middle School,90061,6- 8,S,7-Dr Richard A Vladovic,234 E 112th St Los Angeles CA 90061
415,Los Angeles Leadership Academy Charter School,90031,6-12,XR,2-Monica Garcia,234 E Avenue 33 Los Angeles CA 90031
416,Welby Way Charter Elementary and Gifted-High Ability Magnet,91307,K- 5,NW,3-Scott M Schmerelson,23456 Welby Way West Hills CA 91307
417,Catskill Avenue Elementary,90745,K- 5,S,7-Dr Richard A Vladovic,23536 Catskill Ave Carson CA 90745
418,Vernon City Elementary,90058,K- 6,E,5-Jackie Goldberg,2360 E Vernon Ave Los Angeles CA 90058
419,George Ellery Hale Charter Academy,91367,6- 8,NW,3-Scott M Schmerelson,23830 Califa St Woodland Hills CA 91367
420,Charles White Elementary School,90057,1- 5,C,2-Monica Garcia,2401 Wilshire Blvd Los Angeles CA 90057
421,Academia Moderna,90255,K- 5,XR,5-Jackie Goldberg,2410 Broadway Walnut Park CA 90255
422,Middleton Street Primary Center,90255,K- 1,E,5-Jackie Goldberg,2410 Zoe Ave Huntington Park CA 90255
423,Marvin Elementary,90016,K- 5,W,1-Dr George J McKenna III,2411 Marvin Ave Los Angeles CA 90016
424,Mayberry Street Elementary Communication Arts Magnet,90026,5- 5,C,5-Jackie Goldberg,2414 Mayberry St Los Angeles CA 90026
425,Roscomare Road Elementary,90077,K- 5,W,4-Nick Melvoin,2425 Roscomare Rd Los Angeles CA 90077
426,Nathaniel Narbonne Senior High,90710,9-12,S,7-Dr Richard A Vladovic,24300 S Western Ave Harbor City CA 90710
427,Narbonne SH-Humanities & Arts (HArts) Academy of Los Angeles,90710,9-12,S,7-Dr Richard A Vladovic,24300 Western Ave Harbor City CA 90710
428,Shenandoah Street Elementary,90034,K- 5,W,1-Dr George J McKenna III,2450 Shenandoah St Los Angeles CA 90034
429,George S Patton Continuation High,90710,9-12,S,7-Dr Richard A Vladovic,24514 S Western Ave Harbor City CA 90710
430,Leo Politi Elementary,90006,K- 5,C,2-Monica Garcia,2481 W 11th St Los Angeles CA 90006
431,Broad Avenue Elementary,90744,K- 5,S,7-Dr Richard A Vladovic,24815 Broad Ave Wilmington CA 90744
432,Scholarship Prep South Bay,90744,K- 8,XR,7-Dr Richard A Vladovic,24910 S Avalon Bl Wilmington CA 90744
433,Port of Los Angeles High School,90731,9-12,XR,7-Dr Richard A Vladovic,250 W 5th St San Pedro CA 90731
434,Pueblo De Los Angeles Continuation High,90031,9-12,E,2-Monica Garcia,2506 Alta St Los Angeles CA 90031
435,Hollenbeck Middle School,90023,6- 8,E,2-Monica Garcia,2510 E 6th St Los Angeles CA 90023
436,Alexander Fleming Middle School,90717,6- 8,S,7-Dr Richard A Vladovic,25425 Walnut St Lomita CA 90717
437,Utah Street Elementary,90033,K- 8,E,2-Monica Garcia,255 Gabriel Garcia Marquez St Los Angeles CA 90033
438,Boyle Heights HS STEM Magnet,90023,9-12,E,2-Monica Garcia,2550 E 6th St Los Angeles CA 90023
439,Renaissance Arts Academy,90065,6-12,XR,5-Jackie Goldberg,2558 N San Fernando Rd Los Angeles CA 90065
440,Southeast Middle School DREAMS Magnet,90280,6- 8,E,5-Jackie Goldberg,2560 Tweedy Blvd South Gate CA 90280
441,Aspire Pacific Academy,90255,10-12,XR,5-Jackie Goldberg,2565 58th St Huntington Park CA 90255
442,Eshelman Avenue Elementary,90717,K- 5,S,7-Dr Richard A Vladovic,25902 Eshelman Ave Lomita CA 90717
443,Dolores Huerta Elementary School,90011,K- 5,C,2-Monica Garcia,260 E 31st St Los Angeles CA 90011
444,Cienega Elementary,90016,K- 5,W,1-Dr George J McKenna III,2611 S Orange Dr Los Angeles CA 90016
445,Cienega Elementary DL Two-Way Im Spanish,90019,K- 2,W,1-Dr George J McKenna III,2611 S Orange Dr Los Angeles CA 90019
446,Angeles Mesa Elementary,90043,K- 5,W,1-Dr George J McKenna III,2611 W 52nd St Los Angeles CA 90043
447,Stella Elementary Charter Academy,90016,K- K,XR,1-Dr George J McKenna III,2636 S Mansfield Av Los Angeles CA 90016
448,Walnut Park Elementary DL Two-Way Im Spanish,90255,K- 2,E,5-Jackie Goldberg,2642 E Olive St Huntington Park CA 90255
449,Walnut Park Elementary,90255,K- 5,E,5-Jackie Goldberg,2642 Olive St Huntington Park CA 90255
450,Pacific Boulevard School,90255,K- 5,E,5-Jackie Goldberg,2660 E 57th St Huntington Pk CA 90255
451,Farmdale Elementary,90032,K- 5,E,2-Monica Garcia,2660 Ruth Swiggett Dr Los Angeles CA 90032
452,Prepa Tec Los Angeles,90255,6- 7,XR,5-Jackie Goldberg,2665 Clarendon Ave Huntington Park CA 90255
453,Los Angeles Leadership Primary Academy,90031,K- 3,XR,2-Monica Garcia,2670 Griffin Ave Los Angeles CA 90031
454,Simon Rodia Continuation High,90280,9-12,E,5-Jackie Goldberg,2701 Sequoia Dr South Gate CA 90280
455,Los Feliz Charter School for the Arts,90065,K- 6,XR,5-Jackie Goldberg,2709 E Media Center Dr Los Angeles CA 90065
456,Los Feliz Charter Middle for the Arts,90065,6- 6,XR,5-Jackie Goldberg,2709 Media Center Dr Los Angeles CA 90065
457,South East Senior High,90280,9-12,E,5-Jackie Goldberg,2720 Tweedy Blvd South Gate CA 90280
458,Equitas Academy 2,90005,5- 5,XR,2-Monica Garcia,2723 W 8th St Los Angeles CA 90005
459,Hoover Street Elementary,90005,K- 5,C,2-Monica Garcia,2726 Francis Ave Los Angeles CA 90005
460,Liberty Boulevard Elementary,90280,K- 5,E,5-Jackie Goldberg,2728 Liberty Blvd South Gate CA 90280
461,Evergreen Avenue Elementary,90033,K- 6,E,2-Monica Garcia,2730 Ganahl St Los Angeles CA 90033
462,Carmen Lomas Garza Primary Center,90023,K- 2,E,2-Monica Garcia,2750 E Hostetter St Los Angeles CA 90023
463,Willow Elementary,90280,K- 5,E,5-Jackie Goldberg,2777 Willow Pl South Gate CA 90280
464,Rudecinda Sepulveda Dodson Middle School,90275,6- 8,S,7-Dr Richard A Vladovic,28014 Montereina Dr Rancho Palos Verdes CA 90275
465,28th Street Elementary,90011,K- 5,C,2-Monica Garcia,2807 Stanford Ave Los Angeles CA 90011
466,KIPP Los Angeles College Preparatory,90023,5- 8,XR,2-Monica Garcia,2810 Whittier Blvd Los Angeles CA 90023
467,1st Street Elementary,90033,K- 6,E,2-Monica Garcia,2820 E First St Los Angeles CA 90033
468,Sunrise Elementary,90023,K- 6,E,2-Monica Garcia,2821 E 7th St Los Angeles CA 90023
469,Excelencia Charter Academy,90023,K- 1,XR,2-Monica Garcia,2821 E 7th Street Los Angeles CA 90023
470,Ivanhoe Elementary,90039,K- 5,C,5-Jackie Goldberg,2828 Herkimer St Los Angeles CA 90039
471,Stanford Avenue Elementary,90280,1- 5,E,5-Jackie Goldberg,2833 Illinois Ave South Gate CA 90280
472,El Sereno Middle School Gifted Magnet,90032,6- 8,E,2-Monica Garcia,2839 N Eastern Ave Los Angeles CA 90032
473,Henry T Gage Middle School,90255,6- 8,E,5-Jackie Goldberg,2880 E Gage Ave Huntington Park CA 90255
474,Vista Charter Middle School,90026,6- 8,XR,2-Monica Garcia,2900 W Temple St Los Angeles CA 90026
475,San Antonio Continuation High,90255,9-12,E,5-Jackie Goldberg,2911 Belgrave Ave Huntington Park CA 90255
476,Virginia Road Elementary,90016,K- 5,W,1-Dr George J McKenna III,2925 Virginia Rd Los Angeles CA 90016
477,Alliance Leichtman-Levine FFES High,90065,9-12,XR,5-Jackie Goldberg,2930 Fletcher Dr Los Angeles CA 90065
478,Alliance Renee & Meyer Luskin Academy High School,90043,9-12,XR,1-Dr George J McKenna III,2941 W 70th St Los Angeles CA 90043
479,Alexander Hamilton Senior High,90034,9-12,W,1-Dr George J McKenna III,2955 S Robertson Blvd Los Angeles CA 90034
480,Dr Maya Angelou Community Senior High,90011,9-12,C,7-Dr Richard A Vladovic,300 E 53rd St Los Angeles CA 90011
481,Orthopaedic Hospital Senior High Medical Magnet,90007,9-12,C,2-Monica Garcia,300 W 23rd St Los Angeles CA 90007
482,Washington Irving Middle School Math Music Engineering Mag,90065,6- 8,C,5-Jackie Goldberg,3010 Estara Ave Los Angeles CA 90065
483,Stanford Avenue Primary Center Elementary DL Two-Way Im Span,90280,K- K,E,5-Jackie Goldberg,3020 Kansas Av South Gate CA 90280
484,Stanford Avenue Primary Center,90280,K- K,E,5-Jackie Goldberg,3020 Kansas Ave South Gate CA 90280
485,John W Mack Elementary,90007,K- 5,C,1-Dr George J McKenna III,3020 S Catalina St Los Angeles CA 90007
486,Rise Kohyang Middle,90010,6- 7,XR,2-Monica Garcia,3020 Wilshire Bl 2nd Fl Los Angeles CA 90010
487,Whitney Young Continuation High,90043,9-12,W,1-Dr George J McKenna III,3051 W 52nd St Los Angeles CA 90043
488,Ernest P Willenberg Special Education Center,90732,6-12,S,7-Dr Richard A Vladovic,308 Weymouth Ave San Pedro CA 90732
489,Gratts Learning Academy for Young Scholars (GLAYS),90017,2- 6,C,2-Monica Garcia,309 Lucas Ave Los Angeles CA 90017
490,Lafayette Park Primary Center,90057,K- K,C,2-Monica Garcia,310 S La Fayette Park Pl Los Angeles CA 90057
491,Watts Learning Center School,90003,K- 5,XR,7-Dr Richard A Vladovic,310 W 95th St Los Angeles CA 90003
492,6th Avenue Elementary,90018,K- 5,W,1-Dr George J McKenna III,3109 6th Ave Los Angeles CA 90018
493,Belvedere Middle School,90063,6- 8,E,2-Monica Garcia,312 N Record Ave Los Angeles CA 90063
494,Young Empowered Scholars Academy,90043,K- 5,W,1-Dr George J McKenna III,3140 Hyde Park Blvd Los Angeles CA 90043
495,Mid-City's Prescott School of Enriched Sciences,90018,1- 5,W,1-Dr George J McKenna III,3150 W Adams Blvd Los Angeles CA 90018
496,Garvanza Elementary Technology/Leadership Magnet,90042,K- 5,C,5-Jackie Goldberg,317 N Avenue 62 Los Angeles CA 90042
497,Sierra Park Elementary,90032,K- 6,E,2-Monica Garcia,3170 Budau Ave Los Angeles CA 90032
498,Ambler Avenue Elementary Gifted Magnet,90746,1- 5,S,7-Dr Richard A Vladovic,319 E Sherman Dr Carson CA 90746
499,Ednovate- Esperanza College Prep,90022,9- 9,XR,2-Monica Garcia,319 N Humphreys Ave Los Angeles CA 90022
500,Malabar Street Elementary,90063,K- 6,E,2-Monica Garcia,3200 E Malabar St Los Angeles CA 90063
501,Carson-Gore Elementary DL Two-Way Im Spanish,90018,K- K,W,1-Dr George J McKenna III,3200 W Washington Bl Los Angeles CA 90018
502,Carson-Gore Academy of Environmental Studies,90018,K- 5,W,1-Dr George J McKenna III,3200 W Washington Blvd Los Angeles CA 90018
503,RFK Comm Schls - Ambassador Sch - Glbl Ed DL One-Way Im Span,90005,K- 5,C,2-Monica Garcia,3201 W 8th St Los Angeles CA 90005
504,RFK Comm Schls - New Open World Academy K-12,90010,K-12,C,2-Monica Garcia,3201 W 8th St Los Angeles CA 90010
505,Math and Science College Preparatory,90018,9- 9,XR,1-Dr George J McKenna III,3202 W Adams Bl Los Angeles CA 90018
506,San Pedro Senior High Marine Science/Tech/Math Magnet,90731,9-12,S,7-Dr Richard A Vladovic,3210 S Alma St San Pedro CA 90731
507,State Street Elementary,90280,K- 5,E,5-Jackie Goldberg,3211 Santa Ana St South Gate CA 90280
508,Miguel Contreras Learning Complex - Acdemic Ldrshp Community,90017,9-12,C,2-Monica Garcia,322 Lucas Ave Los Angeles CA 90017
509,Albion Street Elementary,90031,K- 6,E,2-Monica Garcia,322 S Avenue 18 Los Angeles CA 90031
510,Miguel Contreras Learning Complex - Business and Tourism,90017,9-12,C,2-Monica Garcia,322 S Lucas Ave Los Angeles CA 90017
511,Lucille Roybal-Allard Elementary,90255,K- 6,E,5-Jackie Goldberg,3232 Saturn Ave Huntington Park CA 90255
512,Alain Leroy Locke College Preparatory Academy,90061,9-12,XR,7-Dr Richard A Vladovic,325 E 111th St Los Angeles CA 90061
513,Atwater Avenue Elementary,90039,K- 6,C,5-Jackie Goldberg,3271 Silver Lake Blvd Los Angeles CA 90039
514,93rd Street Elementary,90003,K- 6,S,7-Dr Richard A Vladovic,330 E 93rd St Los Angeles CA 90003
515,Harvard Elementary DL Two-Way Im Spanish,90004,K- K,W,2-Monica Garcia,330 N Harvard Bl Los Angeles CA 90004
516,Harvard Elementary,90004,K- 5,W,2-Monica Garcia,330 N Harvard Blvd Los Angeles CA 90004
517,Florence Nightingale Middle School Gifted STEM Magnet,90065,6- 8,E,5-Jackie Goldberg,3311 N Figueroa St Los Angeles CA 90065
518,Victoria Avenue Elementary,90280,K- 5,E,5-Jackie Goldberg,3320 Missouri Ave South Gate CA 90280
519,Mar Vista Elementary,90066,K- 5,W,4-Nick Melvoin,3330 Granville Ave Los Angeles CA 90066
520,Point Fermin Elementary Marine Science Magnet,90731,K- 5,S,7-Dr Richard A Vladovic,3333 Kerckhoff Ave San Pedro CA 90731
521,Gates Street Elementary,90031,K- 5,E,2-Monica Garcia,3333 Manitou Ave Los Angeles CA 90031
522,Fletcher Drive Elementary,90065,K- 5,C,5-Jackie Goldberg,3350 Fletcher Dr Los Angeles CA 90065
