,School,Zip Code,Grades,Local District,Board District,complete_address
896,Dr Owen Lloyd Knox Elementary School,90003,K- 6,S,7-Dr Richard A Vladovic,8919 S Main St Los Angeles CA 90003
897,Fenton Charter Leadership Academy,91352,K- 5,XR,6-Kelly Gonez,8926 Sunland Blvd Sun Valley CA 91352
898,Aspire Firestone Academy,90280,K- 5,XR,5-Jackie Goldberg,8929 Kauffman Ave South Gate CA 90280
899,Harmony Elementary School,90011,K- 5,C,5-Jackie Goldberg,899 E 42nd Pl Los Angeles CA 90011
900,Quincy Jones Elementary,90011,K- 5,C,2-Monica Garcia,900 E 33rd St Los Angeles CA 90011
901,Valor Academy Middle School,91343,5- 8,XR,6-Kelly Gonez,9034 Burnet Ave North Hills CA 91343
902,Primary Academy for Success School,91402,K- 2,NW,6-Kelly Gonez,9075 Willis Ave Panorama City CA 91402
903,KIPP Ignite Academy,90002,K- 1,XR,7-Dr Richard A Vladovic,9110 S Central Ave Los Angeles CA 90002
904,Youth Opportunities Unlimited,90044,9-12,S,1-Dr George J McKenna III,915 W Manchester Ave Los Angeles CA 90044
905,Sun Valley Senior High,91352,9-12,NE,6-Kelly Gonez,9171 Telfair Ave Sun Valley CA 91352
906,Cheviot Hills Continuation High,90034,9-12,W,1-Dr George J McKenna III,9200 Cattaraugus Ave Los Angeles CA 90034
907,92nd Street Elementary,90002,K- 6,S,7-Dr Richard A Vladovic,9211 Grape St Los Angeles CA 90002
908,James Monroe Senior High,91343,9-12,NW,6-Kelly Gonez,9229 Haskell Ave North Hills CA 91343
909,Canfield Avenue Elementary,90035,K- 5,W,1-Dr George J McKenna III,9233 Airdrome St Los Angeles CA 90035
910,Dearborn Elementary Charter Academy,91325,K- 5,NW,3-Scott M Schmerelson,9240 Wish Ave Northridge CA 91325
911,Laurel Elementary,90046,K- 8,W,4-Nick Melvoin,925 N Hayworth Ave Los Angeles CA 90046
912,Highland Park Continuation High,90042,9-12,C,5-Jackie Goldberg,928 N Avenue 53 Los Angeles CA 90042
913,Hubert Howe Bancroft Middle School Gifted STEAM Magnet,90038,6- 8,W,4-Nick Melvoin,929 N Las Palmas Ave Los Angeles CA 90038
