,name,is_closed,url,rating,price,review_count,latitude,longitude,location
40,Pine X Delivery,False,https://www.yelp.com/biz/pine-x-delivery-manhattan-beach?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.5,$$,42,33.886116027832,-118.405311584473,"(33.886116027832, -118.405311584473)"
41,MMD - Hollywood,False,https://www.yelp.com/biz/mmd-hollywood-hollywood-2?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.0,,117,34.0984988,-118.3297582,"(34.0984988, -118.3297582)"
42,The Buddha Company - DTLA,False,https://www.yelp.com/biz/the-buddha-company-dtla-los-angeles?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.0,$$,89,34.04139,-118.25349,"(34.04139, -118.25349)"
43,CAC Venice,False,https://www.yelp.com/biz/cac-venice-venice?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.5,,59,34.0022531,-118.4691969,"(34.0022531, -118.4691969)"
44,Nugg,False,https://www.yelp.com/biz/nugg-los-angeles-3?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,3.5,,154,34.029109954834,-118.283065795898,"(34.029109954834, -118.283065795898)"
45,The Artist Tree Marijuana Dispensary&Weed Delivery WestHollywood,False,https://www.yelp.com/biz/the-artist-tree-marijuana-dispensary-and-weed-delivery-westhollywood-west-hollywood?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.0,,99,34.08784933,-118.37994233,"(34.08784933, -118.37994233)"
46,Sweet Flower Westwood,False,https://www.yelp.com/biz/sweet-flower-westwood-los-angeles?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.5,,63,34.05488,-118.441643,"(34.05488, -118.441643)"
47,The Reefinery,False,https://www.yelp.com/biz/the-reefinery-los-angeles?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.0,,85,34.1796,-118.4577,"(34.1796, -118.4577)"
48,DELI by Caliva,False,https://www.yelp.com/biz/deli-by-caliva-bellflower?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.5,,96,33.87509,-118.13056933,"(33.87509, -118.13056933)"
49,Green Angel,False,https://www.yelp.com/biz/green-angel-sherman-oaks?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.0,,73,34.148844,-118.437367,"(34.148844, -118.437367)"
50,Sun Valley Caregivers,False,https://www.yelp.com/biz/sun-valley-caregivers-sun-valley?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.5,$,59,34.2380086,-118.3698842,"(34.2380086, -118.3698842)"
51,La Brea Collective,False,https://www.yelp.com/biz/la-brea-collective-los-angeles?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.0,,67,34.0481326,-118.3476599,"(34.0481326, -118.3476599)"
52,Los Angeles Patients & Caregivers Group,False,https://www.yelp.com/biz/los-angeles-patients-and-caregivers-group-west-hollywood?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.5,$$,109,34.0907688800547,-118.346886039038,"(34.0907688800547, -118.346886039038)"
53,Erba Markets,False,https://www.yelp.com/biz/erba-markets-los-angeles?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,3.5,$$,301,34.0281261,-118.45235927,"(34.0281261, -118.45235927)"
54,Stiiizy,False,https://www.yelp.com/biz/stiiizy-los-angeles-4?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,3.5,,210,34.05253083,-118.23209167,"(34.05253083, -118.23209167)"
55,Alternative Herbal Health Services,False,https://www.yelp.com/biz/alternative-herbal-health-services-west-hollywood-4?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.0,$$,59,34.09056,-118.36021,"(34.09056, -118.36021)"
56,Strain Balboa Caregivers,False,https://www.yelp.com/biz/strain-balboa-caregivers-chatsworth?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.0,$$,166,34.25767,-118.60133,"(34.25767, -118.60133)"
57,420 King Marijuana Delivery,False,https://www.yelp.com/biz/420-king-marijuana-delivery-los-angeles?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.0,,60,34.10269,-118.29148,"(34.10269, -118.29148)"
58,Fountain Of Wellbeing,False,https://www.yelp.com/biz/fountain-of-wellbeing-north-hollywood-2?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,5.0,,27,34.2021534,-118.391379,"(34.2021534, -118.391379)"
59,Serra Dispensary,False,https://www.yelp.com/biz/serra-dispensary-los-angeles-2?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.5,,37,34.07257,-118.36712,"(34.07257, -118.36712)"
60,LAX CC 21+,False,https://www.yelp.com/biz/lax-cc-21-los-angeles-2?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,3.5,$$,125,33.962012,-118.420838,"(33.962012, -118.420838)"
61,Pineapple Express Delivers,False,https://www.yelp.com/biz/pineapple-express-delivers-los-angeles-2?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.5,,26,34.045684814453125,-118.45132446289062,"(34.045684814453125, -118.45132446289062)"
62,Gradus by SOCC,False,https://www.yelp.com/biz/gradus-by-socc-north-hollywood?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.5,,45,34.1750832,-118.3804574,"(34.1750832, -118.3804574)"
63,WHTC,False,https://www.yelp.com/biz/whtc-studio-city?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.0,,48,34.1363802,-118.3621366,"(34.1363802, -118.3621366)"
64,Amuse,False,https://www.yelp.com/biz/amuse-los-angeles?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,3.5,,255,33.9736289978027,-118.249893188477,"(33.9736289978027, -118.249893188477)"
65,Green Cross,False,https://www.yelp.com/biz/green-cross-torrance-3?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.0,$$,131,33.831109,-118.308726,"(33.831109, -118.308726)"
66,Golden Leaf Scientifics,False,https://www.yelp.com/biz/golden-leaf-scientifics-santa-monica?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,3.5,$$,130,34.0053558349609,-118.479789733887,"(34.0053558349609, -118.479789733887)"
67,Divine Wellness Center,False,https://www.yelp.com/biz/divine-wellness-center-canoga-park?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.5,$,69,34.202434,-118.595115,"(34.202434, -118.595115)"
68,Nugg Club,False,https://www.yelp.com/biz/nugg-club-santa-monica-3?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.5,,442,34.01182839926165,-118.46814867880374,"(34.01182839926165, -118.46814867880374)"
69,Luvbrite Delivery,False,https://www.yelp.com/biz/luvbrite-delivery-santa-monica?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.5,,41,34.01158,-118.49227,"(34.01158, -118.49227)"
70,The Growcery,False,https://www.yelp.com/biz/the-growcery-los-angeles?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.5,$$,29,34.0511166,-118.3653043,"(34.0511166, -118.3653043)"
71,Goddess Delivers,False,https://www.yelp.com/biz/goddess-delivers-san-fernando-valley-2?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.5,,52,33.9793472290039,-118.250053405762,"(33.9793472290039, -118.250053405762)"
72,Project Cannabis,False,https://www.yelp.com/biz/project-cannabis-los-angeles-3?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.5,,33,34.025806,-118.241626,"(34.025806, -118.241626)"
73,Fly Delivery Cannabis Caregivers,False,https://www.yelp.com/biz/fly-delivery-cannabis-caregivers-los-angeles-2?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.5,$,27,34.11248779296875,-118.26201629638672,"(34.11248779296875, -118.26201629638672)"
74,Smartweed,False,https://www.yelp.com/biz/smartweed-los-angeles?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.0,$$,66,34.08953,-118.30872,"(34.08953, -118.30872)"
75,LA Wonderland Marijuana Dispensary,False,https://www.yelp.com/biz/la-wonderland-marijuana-dispensary-los-angeles?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,3.5,$$,115,34.033994,-118.264534,"(34.033994, -118.264534)"
76,Foothill Wellness Center,False,https://www.yelp.com/biz/foothill-wellness-center-tujunga?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.0,,54,34.247908651424986,-118.28715756564141,"(34.247908651424986, -118.28715756564141)"
77,Zen Healing,False,https://www.yelp.com/biz/zen-healing-west-hollywood?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.0,,146,34.0896619,-118.3755122,"(34.0896619, -118.3755122)"
78,Express Treetop Marijuana Dispensary,False,https://www.yelp.com/biz/express-treetop-marijuana-dispensary-new-york-3?adjust_creative=S3Q8rdxLg5kyCv0Mw38vXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S3Q8rdxLg5kyCv0Mw38vXA,4.0,,51,40.7522897,-73.99000459999999,"(40.7522897, -73.99000459999999)"
